Datos de la Planta a lazo abierto (Gla) o lazo cerrado (Glc)
C:\Users\Paulo\Documents\PAULO\CONTROL\ETN1040\3D printer\3D PRINTER PROJECT\analisis\datos recolectados\Gp_tm1000ms_19V_3kHz.txt
28/02/2014 01:54:19 p.m.

r(t):Voltaje[V]  y(t):Voltaje[V]  y(t):Temp[°C]  Tiempo de muestreo:tm[ms]
1,03085                      0,77104                     46,2624                     174710,5103
1,03085                      0,75152                     45,0912                     175724,5121
1,03085                      0,77104                     46,2624                     176738,5139
1,03085                      0,77104                     46,2624                     177752,5156
1,03085                      0,77104                     46,2624                     178766,5174
1,03085                      0,74664                     44,7984                     179780,5192
1,03085                      0,74664                     44,7984                     180794,521
1,03085                      0,74664                     44,7984                     181808,5228
1,03085                      0,78568                     47,1408                     182822,5245
1,03085                      0,80032                     48,0192                     183836,5263
1,03085                      0,7808                     46,848                     184850,5281
1,03085                      0,77592                     46,5552                     185864,5299
1,03085                      0,78568                     47,1408                     186878,5317
1,03085                      0,7808                     46,848                     187892,5335
1,03085                      0,75152                     45,0912                     188906,5352
1,03085                      0,77104                     46,2624                     189920,537
1,03085                      0,79544                     47,7264                     190934,5388
1,03085                      0,7564                     45,384                     191948,5406
1,03085                      0,8052                     48,312                     192962,5424
1,03085                      0,76128                     45,6768                     193992,1442
1,03085                      0,80032                     48,0192                     194990,5459
1,03085                      0,79544                     47,7264                     196004,5477
1,03085                      0,83448                     50,0688                     197018,5495
1,03085                      0,81496                     48,8976                     198032,5513
1,03085                      0,78568                     47,1408                     199046,553
1,03085                      0,80032                     48,0192                     200060,5548
1,03085                      0,80032                     48,0192                     201074,5566
1,03085                      0,79056                     47,4336                     202088,5584
1,03085                      0,81496                     48,8976                     203102,5602
1,03085                      0,82472                     49,4832                     204116,5619
1,03085                      0,81984                     49,1904                     205130,5637
1,03085                      0,80032                     48,0192                     206144,5655
1,03085                      0,78568                     47,1408                     207158,5673
1,03085                      0,84912                     50,9472                     208172,5691
1,03085                      0,8296                     49,776                     209186,5709
1,03085                      0,8052                     48,312                     210200,5726
1,03085                      0,8052                     48,312                     211214,5744
1,03085                      0,81496                     48,8976                     212228,5762
1,03085                      0,83936                     50,3616                     213242,578
1,03085                      0,81984                     49,1904                     214256,5798
1,03085                      0,81008                     48,6048                     215270,5815
1,03085                      0,81496                     48,8976                     216300,1833
1,03085                      0,83936                     50,3616                     217298,5851
1,03085                      0,81984                     49,1904                     218312,5869
1,03085                      0,81496                     48,8976                     219326,5887
1,03085                      0,81984                     49,1904                     220340,5904
1,03085                      0,8296                     49,776                     221354,5922
1,03085                      0,8296                     49,776                     222368,594
1,03085                      0,83448                     50,0688                     223382,5958
1,03085                      0,83448                     50,0688                     224396,5976
1,03085                      0,8296                     49,776                     225410,5994
1,03085                      0,854                     51,24                     226424,6011
1,03085                      0,85888                     51,5328                     227438,6029
1,03085                      0,854                     51,24                     228452,6047
1,03085                      0,83936                     50,3616                     229466,6065
1,03085                      0,84912                     50,9472                     230480,6083
1,03085                      0,88816                     53,2896                     231494,61
1,03085                      0,83936                     50,3616                     232508,6118
1,03085                      0,87352                     52,4112                     233522,6136
1,03085                      0,84424                     50,6544                     234536,6154
1,03085                      0,96136                     57,6816                     235550,6172
1,03085                      0,87352                     52,4112                     236564,6189
1,03085                      0,9028                     54,168                     237578,6207
1,03085                      0,89304                     53,5824                     238592,6225
1,03085                      0,89304                     53,5824                     239606,6243
1,03085                      0,8784                     52,704                     240620,6261
1,03085                      0,91256                     54,7536                     241634,6278
1,03085                      0,854                     51,24                     242648,6296
1,03085                      0,90768                     54,4608                     243662,6314
1,03085                      0,88816                     53,2896                     244676,6332
1,03085                      0,89792                     53,8752                     245690,635
1,03085                      0,86864                     52,1184                     246704,6368
1,03085                      0,91256                     54,7536                     247718,6385
1,03085                      0,8784                     52,704                     248732,6403
1,03085                      0,88816                     53,2896                     249746,6421
1,03085                      0,86864                     52,1184                     250760,6439
1,03085                      0,8784                     52,704                     251774,6457
1,03085                      0,8784                     52,704                     252788,6474
1,03085                      0,87352                     52,4112                     253802,6492
1,03085                      0,86864                     52,1184                     254816,651
1,03085                      0,9028                     54,168                     255830,6528
1,03085                      0,88328                     52,9968                     256844,6546
1,03085                      0,88816                     53,2896                     257858,6563
1,03085                      0,90768                     54,4608                     258872,6581
1,03085                      0,88328                     52,9968                     259886,6599
1,03085                      0,91256                     54,7536                     260900,6617
1,03085                      0,9272                     55,632                     261914,6635
1,03085                      0,89792                     53,8752                     262944,2653
1,03085                      0,89304                     53,5824                     263942,667
1,03085                      0,9028                     54,168                     264956,6688
